id,id_municipio,id_tipo_institucion,id_nivel_institucion,nombre,siglas,direccion,telefono,fecha_creacion
104,1,1,1,ASOCIACION DEPORTIVA NACIONAL DE ECUESTRES,GT-NIT-6670032,,,
105,1,1,1,CONTRALORÍA GENERAL DE CUENTAS,GT-NIT-637672K,,,
106,1,1,1,EMPRESA PORTUARIA NACIONAL SANTO TOMÁS DE CASTILLA -EMPORNAC-,GT-NIT-3133222,,,
107,1,1,1,AUTORIDAD PARA EL MANEJO SUSTENTABLE DE LA CUENCA DEL LAGO DE ATITLÁN Y SU ENTORNO,GT-NIT-16924622,,,
108,1,1,1,"MUNICIPALIDAD DE FLORES, PETÉN",GT-NIT-651233K,,,
109,1,1,1,"MUNICIPALIDAD DE CUBULCO, BAJA VERAPAZ",GT-NIT-6434290,,,
110,1,1,1,"MUNICIPALIDAD DE ANTIGUA GUATEMALA, SACATEPÉQUEZ",GT-NIT-6148964,,,
111,1,1,1,SECRETARIA TECNICA DEL CONSEJO NACIONAL DE SEGURIDAD,GT-NIT-74204033,,,
112,1,1,1,SECRETARÍA EJECUTIVA DE LA INSTANCIA COORDINADORA DE LA MODERNIZACIÓN DEL SECTOR JUSTICIA,GT-NIT-19907435,,,
113,1,1,1,MANCOMUNIDAD DE MUNICIPIOS DE LA CUENCA DEL RIO NARANJO-MANCUERNA-,GT-NIT-35233400,,,
114,1,1,1,"MUNICIPALIDAD DE MASAGUA, ESCUINTLA",GT-NIT-2337118,,,
115,1,1,1,"COOPERATIVA INTEGRAL AGRÍCOLA ""CHICALITOS"" RESPONSABILIDAD LIMITADA",GT-NIT-97085308,,,
116,1,1,1,"MUNICIPALIDAD DE MONJAS, JALAPA",GT-NIT-6948308,,,
117,1,1,1,EMPRESA ELECTRICA MUNICIPAL DE GUALAN -ZACAPA-,GT-NIT-6248926,,,
118,1,1,1,CONSEJO NACIONAL DE ADOPCIONES,GT-NIT-57619425,,,
119,1,1,1,"MUNICIPALIDAD DE SAN ANDRÉS SAJCABAJA, QUICHÉ",GT-NIT-6852645,,,
120,1,1,1,"MUNICIPALIDAD DE COBÁN, ALTA VERAPAZ",GT-NIT-4097777,,,
121,1,1,1,SECRETARÍA GENERAL,GT-NIT-2527189,,,
122,1,1,1,BENEMÉRITO CUERPO DE BOMBEROS MUNICIPALES,GT-NIT-6636950,,,
123,1,1,1,"MUNICIPALIDAD DE SAN MATEO, QUETZALTENANGO",GT-NIT-6556078,,,
124,1,1,1,"MUNICIPALIDAD DE CHUARRANCHO, GUATEMALA",GT-NIT-6088856,,,
125,1,1,1,"MUNICIPALIDAD DE SANTA CATARINA BARAHONA,  SACATEPÉQUEZ",GT-NIT-6185258,,,
126,1,1,1,"MUNICIPALIDAD DE SAN ANDRÉS, PETÉN",GT-NIT-3683168,,,
127,1,1,1,"MUNICIPALIDAD DE RÍO HONDO, ZACAPA",GT-NIT-6284973,,,
128,1,1,1,SECRETARIA DE SEGURIDAD ALIMENTARIA Y NUTRICIONAL PRESIDENCIA DE LA REPUBLICA,GT-NIT-41255674,,,
129,1,1,1,INSTITUTO DE FOMENTO DE HIPOTECAS ASEGURADAS -FHA-,GT-NIT-337366,,,
130,1,1,1,"SECRETARÍA CONTRA LA VIOLENCIA SEXUAL, EXPLOTACION Y TRATA DE PERSONAS",GT-NIT-74639234,,,
131,1,1,1,"MUNICIPALIDAD DE PALESTINA DE LOS ALTOS, QUETZALTENANGO",GT-NIT-6284833,,,
132,1,1,1,"MUNICIPALIDAD DE COMALAPA, CHIMALTENANGO",GT-NIT-6150004,,,
133,1,1,1,ORGANISMO LEGISLATIVO,GT-NIT-3377709,,,
134,1,1,1,"MUNICIPALIDAD DE SAN ANDRÉS ITZAPA, CHIMALTENANGO",GT-NIT-6134149,,,
135,1,1,1,INSTITUTO DE LA DEFENSA PÚBLICA PENAL,GT-NIT-17820197,,,
136,1,1,1,"MUNICIPALIDAD DE SANTA ANA, PETÉN",GT-NIT-5026024,,,
137,1,1,1,CONSEJO NACIONAL DE LA JUVENTUD,GT-NIT-8315973,,,
138,1,1,1,"MUNICIPALIDAD DE CUILAPA, SANTA ROSA",GT-NIT-6527310,,,
139,1,1,1,"MUNICIPALIDAD DE LOS AMATES, IZABAL",GT-NIT-6134424,,,
140,1,1,1,OFICINA NACIONAL DE SERVICIO CIVIL,GT-NIT-2337762,,,
141,1,1,1,"MUNICIPALIDAD DE SAN PEDRO CARCHA, ALTA VERAPAZ",GT-NIT-4132726,,,
142,1,1,1,"MUNICIPALIDAD DE SANTA CATALINA LA TINTA, ALTA VERAPAZ",GT-NIT-24423262,,,
143,1,1,1,EMPRESA PORTUARIA QUETZAL -EPQ-,GT-NIT-3377830,,,
144,1,1,1,"MUNICIPALIDAD DE SAN BARTOLOMÉ MILPAS ALTAS, SACATEPÉQUEZ",GT-NIT-6248446,,,
145,1,1,1,UNIDAD NACIONAL DE ONCOLOGIA PEDIATRICA,GT-NIT-22464611,,,
146,1,1,1,COORDINADORA Q'EQCHI´ PARA EL DESARROLLO COMUNITARIO,GT-NIT-10084409K,,,
